WenSL5_1.bin 
         5.00
11
7
Type of measurement (0=app. resistivity,1=resistance)
0
288
 2
0
4  70.00  0.00 95.00  0.00 80.00  0.00 85.00  0.00 125302.44 
4  70.00  0.00 85.00  0.00 75.00  0.00 80.00  0.00 369875.41 
4  75.00  0.00 170.00  0.00 120.00  0.00 125.00  0.00 138663.22 
4  75.00  0.00 160.00  0.00 115.00  0.00 120.00  0.00 154684.86 
4  75.00  0.00 150.00  0.00 110.00  0.00 115.00  0.00 270727.97 
4  75.00  0.00 140.00  0.00 105.00  0.00 110.00  0.00 183323.64 
4  75.00  0.00 130.00  0.00 100.00  0.00 105.00  0.00 233362.55 
4  75.00  0.00 120.00  0.00 95.00  0.00 100.00  0.00 128046.05 
4  75.00  0.00 110.00  0.00 90.00  0.00 95.00  0.00 49991.00 
4  75.00  0.00 100.00  0.00 85.00  0.00 90.00  0.00 65762.34 
4  75.00  0.00 90.00  0.00 80.00  0.00 85.00  0.00 66020.57 
4  80.00  0.00 175.00  0.00 125.00  0.00 130.00  0.00 167153.33 
4  80.00  0.00 165.00  0.00 120.00  0.00 125.00  0.00 145249.31 
4  80.00  0.00 155.00  0.00 115.00  0.00 120.00  0.00 150126.27 
4  80.00  0.00 145.00  0.00 110.00  0.00 115.00  0.00 264817.34 
4  80.00  0.00 135.00  0.00 105.00  0.00 110.00  0.00 207000.38 
4  80.00  0.00 125.00  0.00 100.00  0.00 105.00  0.00 241085.78 
4  80.00  0.00 115.00  0.00 95.00  0.00 100.00  0.00 124618.17 
4  80.00  0.00 105.00  0.00 90.00  0.00 95.00  0.00 46646.37 
4  80.00  0.00 95.00  0.00 85.00  0.00 90.00  0.00 36541.21 
4  85.00  0.00 170.00  0.00 125.00  0.00 130.00  0.00 145141.58 
4  85.00  0.00 160.00  0.00 120.00  0.00 125.00  0.00 127895.20 
4  85.00  0.00 150.00  0.00 115.00  0.00 120.00  0.00 123541.34 
4  85.00  0.00 140.00  0.00 110.00  0.00 115.00  0.00 217170.53 
4  85.00  0.00 130.00  0.00 105.00  0.00 110.00  0.00 171923.62 
4  85.00  0.00 120.00  0.00 100.00  0.00 105.00  0.00 201784.47 
4  85.00  0.00 110.00  0.00 95.00  0.00 100.00  0.00 88176.25 
4  85.00  0.00 100.00  0.00 90.00  0.00 95.00  0.00 29338.55 
4  90.00  0.00 175.00  0.00 130.00  0.00 135.00  0.00 79785.03 
4  90.00  0.00 165.00  0.00 125.00  0.00 130.00  0.00 121033.79 
4  90.00  0.00 155.00  0.00 120.00  0.00 125.00  0.00 100742.57 
4  90.00  0.00 145.00  0.00 115.00  0.00 120.00  0.00 114957.53 
4  90.00  0.00 135.00  0.00 110.00  0.00 115.00  0.00 191218.23 
4  90.00  0.00 125.00  0.00 105.00  0.00 110.00  0.00 123521.94 
4  90.00  0.00 115.00  0.00 100.00  0.00 105.00  0.00 131183.00 
4  90.00  0.00 105.00  0.00 95.00  0.00 100.00  0.00 50060.60 
4  95.00  0.00 170.00  0.00 130.00  0.00 135.00  0.00 66109.33 
4  95.00  0.00 160.00  0.00 125.00  0.00 130.00  0.00 98598.34 
